Book,Type,Price,Stocks,Review
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Nonfiction,£28.85,3,3
If I Run (If I Run #1),Christian Fiction,£49.97,3,4
I've Got Your Number,Womens Fiction,£19.69,3,1
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,Nonfiction,£28.88,3,2
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,Food and Drink,£33.14,3,3
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",History,£43.70,3,2
House of Leaves,Horror,£54.89,3,1
Horrible Bear!,Childrens,£37.52,3,2
Holidays on Ice,Humor,£51.07,3,2
Heir to the Sky,Fantasy,£44.07,3,4
Green Eggs and Ham (Beginner Books B-16),Childrens,£10.79,3,4
"Grayson, Vol 3: Nemesis (Grayson #3)",Sequential Art,£42.72,3,1
Gratitude,Nonfiction,£26.66,3,5
Gone Girl,Default,£37.60,3,5
Golden (Heart of Dread #3),Young Adult,£42.21,3,4
Girl in the Blue Coat,Historical Fiction,£46.83,3,2
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Sequential Art,£45.17,3,2
"Friday Night Lights: A Town, a Team, and a Dream",Sports and Games,£51.22,3,3
Fire Bound (Sea Haven/Sisters of the Heart #5),Add a comment,£21.28,3,4
Fifty Shades Freed (Fifty Shades #3),Adult Fiction,£15.36,3,5
Fellside,Default,£38.62,3,1
Extreme Prey (Lucas Davenport #26),Mystery,£25.40,3,3
Eragon (The Inheritance Cycle #1),Fantasy,£43.87,3,3
Eclipse (Twilight #3),Default,£18.74,3,1
Dune (Dune #1),Science Fiction,£54.86,3,1
Dracula,Default,£52.62,3,3
Do Androids Dream of Electric Sheep? (Blade Runner #1),Science Fiction,£51.48,3,1
Disrupted: My Misadventure in the Start-Up Bubble,Nonfiction,£15.28,3,5
Dead Wake: The Last Crossing of the Lusitania,Default,£39.24,3,5
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Default,£17.81,3,1
Darkfever (Fever #1),Fantasy,£56.02,3,1
Dark Places,Default,£23.90,3,5
Crazy Rich Asians (Crazy Rich Asians #1),Fiction,£49.13,3,5
Counting Thyme,Childrens,£10.62,3,1
Cosmos,Add a comment,£36.17,3,2
Civilization and Its Discontents,Psychology,£59.95,3,2
Cinder (The Lunar Chronicles #1),Young Adult,£26.09,3,1
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,Parenting,£37.35,3,2
Career of Evil (Cormoran Strike #3),Mystery,£24.72,3,2
Breaking Dawn (Twilight #4),Default,£35.28,3,5
Brave Enough,Nonfiction,£51.32,3,5
Boy Meets Boy,Young Adult,£21.12,3,3
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Nonfiction,£27.35,3,2
Blink: The Power of Thinking Without Thinking,Nonfiction,£21.74,3,5
Black Flags: The Rise of ISIS,Nonfiction,£40.87,3,1
"Black Butler, Vol. 1 (Black Butler #1)",Sequential Art,£49.31,3,1
Big Little Lies,Fiction,£22.11,3,1
Between Shades of Gray,Historical Fiction,£20.79,3,5
Best of My Love (Fool's Gold #20),Romance,£27.41,3,2
Beowulf,Classics,£38.35,3,2
Beautiful Creatures (Caster Chronicles #1),Default,£21.55,3,5
Awkward,Sequential Art,£38.02,3,2
Ash,Fantasy,£22.06,3,4
Are We There Yet?,Childrens,£10.66,3,3
Are We Smart Enough to Know How Smart Animals Are?,Nonfiction,£56.58,3,1
Annie on My Mind,Young Adult,£36.83,3,5
And Then There Were None,Classics,£35.01,3,2
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Nonfiction,£30.48,3,4
A Visit from the Goon Squad,Default,£14.08,3,5
A Storm of Swords (A Song of Ice and Fire #3),Fantasy,£31.22,3,2
A Heartbreaking Work of Staggering Genius,Autobiography,£54.29,3,5
8 Keys to Mental Health Through Exercise,Psychology,£31.04,3,1
#GIRLBOSS,Add a comment,£50.96,3,1
"The Suffragettes (Little Black Classics, #96)",Nonfiction,£11.89,2,2
The Sense of an Ending,Add a comment,£31.38,2,3
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Sequential Art,£54.81,2,1
The Course of Love,Fiction,£16.78,2,3
Sugar Rush (Offensive Line #2),Sports and Games,£24.42,2,1
"Saga, Volume 2 (Saga (Collected Editions) #2)",Sequential Art,£11.75,2,3
"Run, Spot, Run: The Ethics of Keeping Pets",Philosophy,£20.02,2,1
New Moon (Twilight #2),Young Adult,£12.86,2,4
Life,Music,£31.58,2,5
Kindle Paperwhite User's Guide,Nonfiction,£34.00,2,3
H is for Hawk,Nonfiction,£57.42,2,5
Girl Online On Tour (Girl Online #2),Young Adult,£53.47,2,1
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Sequential Art,£11.64,2,5
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),Childrens,£52.88,2,4
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Sequential Art,£18.51,1,4
While You Were Mine,Historical Fiction,£41.32,1,5
Where Lightning Strikes (Bleeding Stars #3),Romance,£39.77,1,3
When I'm Gone,Fiction,£51.96,1,3
Ways of Seeing,Art,£39.51,1,5
"Vampire Knight, Vol. 1 (Vampire Knight #1)",Paranormal,£15.40,1,1
Vampire Girl (Vampire Girl #1),Fantasy,£53.82,1,2
Twenty Love Poems and a Song of Despair,Poetry,£30.95,1,4
Travels with Charley: In Search of America,Nonfiction,£57.82,1,5
Three Wishes (River of Time: California #1),Science Fiction,£44.18,1,2
This One Moment (Pushing Limits #1),Romance,£48.71,1,1
The Zombie Room,Default,£19.69,1,5
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Sequential Art,£36.52,1,2
The Tumor,Nonfiction,£41.56,1,5
The Story of Hong Gildong,Classics,£43.19,1,4
The Silent Wife,Fiction,£12.34,1,5
The Silent Twin (Detective Jennifer Knight #3),Fantasy,£36.25,1,3
The Selfish Gene,Science,£29.45,1,1
The Secret Healer,Historical Fiction,£34.56,1,3
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Sequential Art,£54.12,1,3
The Republic,Add a comment,£33.78,1,3
The Odyssey,Add a comment,£29.64,1,3
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Mystery,£57.70,1,4
The Nicomachean Ethics,Philosophy,£36.34,1,1
The Name of the Wind (The Kingkiller Chronicle #1),Default,£50.59,1,3
The Mirror & the Maze (The Wrath and the Dawn #1.5),Fantasy,£29.38,1,1
The Little Prince,Classics,£45.42,1,2
The Light of the Fireflies,Add a comment,£54.43,1,1
The Last Girl (The Dominion Trilogy #1),Science Fiction,£36.26,1,2
The Iliad,Add a comment,£16.16,1,1
The Hook Up (Game On #1),New Adult,£36.29,1,5
The Haters,Young Adult,£27.89,1,5
The Girl You Lost,Mystery,£12.29,1,5
The Girl In The Ice (DCI Erika Foster #1),Mystery,£15.85,1,3
The End of the Jesus Era (An Investigation #1),Nonfiction,£14.40,1,1
The Edge of Reason (Bridget Jones #2),Womens Fiction,£19.18,1,4
The Complete Maus (Maus #1-2),Sequential Art,£10.64,1,3
The Communist Manifesto,Add a comment,£14.76,1,3
The Bhagavad Gita,Religion,£57.49,1,3
The Bette Davis Club,Fiction,£30.66,1,3
The Art of Not Breathing,Young Adult,£40.83,1,4
Taking Shots (Assassins #1),Default,£18.88,1,2
Starlark,Historical Fiction,£25.83,1,3
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Sequential Art,£42.12,1,3
Sister Sable (The Mad Queen #1),Fantasy,£13.33,1,3
Shatter Me (Shatter Me #1),Default,£42.40,1,1
Shameless,New Adult,£58.35,1,3
Shadow Rites (Jane Yellowrock #10),Fantasy,£21.72,1,4
Settling the Score (The Summer Games #1),Sports and Games,£44.91,1,2
Sense and Sensibility,Classics,£37.46,1,1
"Saga, Volume 1 (Saga (Collected Editions) #1)",Sequential Art,£28.48,1,1
"Rhythm, Chord & Malykhin",Romance,£28.34,1,2
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Sequential Art,£46.96,1,5
Paradise Lost (Paradise #1),Default,£24.96,1,1
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Sequential Art,£21.71,1,4
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Sequential Art,£29.87,1,3
Origins (Alphas 0.5),Fantasy,£28.99,1,1
One Second (Seven #7),Fantasy,£52.94,1,2
On the Road (Duluoz Legend),Default,£32.36,1,3
Old Records Never Die: One Man's Quest for His Vinyl and His Past,Music,£55.66,1,2
Off Sides (Off #1),New Adult,£39.45,1,5
Of Mice and Men,Classics,£47.11,1,2
Myriad (Prentor #1),Fantasy,£58.75,1,4
My Perfect Mistake (Over the Top #1),Romance,£38.92,1,2
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Sequential Art,£39.39,1,4
Meditations,Philosophy,£25.89,1,2
Matilda,Childrens,£28.34,1,1
Lost Among the Living,Historical Fiction,£27.70,1,4
Lord of the Flies,Add a comment,£24.89,1,3
Listen to Me (Fusion #1),Romance,£58.99,1,3
Kitchens of the Great Midwest,Fiction,£57.20,1,5
Jane Eyre,Default,£38.43,1,5
Imperfect Harmony,Romance,£34.74,1,4
Icing (Aces Hockey #2),Sports and Games,£40.44,1,4
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Sequential Art,£45.24,1,3
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),Science Fiction,£34.96,1,4
"Giant Days, Vol. 1 (Giant Days #1-4)",Sequential Art,£56.76,1,4
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Sequential Art,£40.28,1,5
Frankenstein,Default,£38.00,1,2
Forever Rockers (The Rocker #12),Music,£28.80,1,3
Fighting Fate (Fighting #6),Romance,£39.24,1,3
Emma,Classics,£32.93,1,2
"Eat, Pray, Love",Nonfiction,£51.32,1,3
Deep Under (Walker Security #1),Romance,£47.09,1,5
Choosing Our Religion: The Spiritual Lives of America's Nones,Religion,£28.42,1,4
Charlie and the Chocolate Factory (Charlie Bucket #1),Childrens,£22.85,1,3
Charity's Cross (Charles Towne Belles #4),Romance,£41.24,1,1
Bright Lines,Fiction,£39.07,1,5
Bridget Jones's Diary (Bridget Jones #1),Womens Fiction,£29.82,1,1
Bounty (Colorado Mountain #7),Romance,£37.26,1,4
Blood Defense (Samantha Brinkman #1),Mystery,£20.30,1,3
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Sequential Art,£34.65,1,5
Beyond Good and Evil,Philosophy,£43.38,1,1
Alice in Wonderland (Alice's Adventures in Wonderland #1),Classics,£55.53,1,1
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Sequential Art,£57.06,1,4
A Spy's Devotion (The Regency Spies of London #1),Historical Fiction,£16.97,1,5
1st to Die (Women's Murder Club #1),Mystery,£53.98,1,1
"1,000 Places to See Before You Die",Travel,£26.08,1,5
